Key,English,Russian
jz_BuffWoundDesc,"You've gotten a [f21b10]Wound[-]. Treat it with a [35bd00]First Aid Bandage[-] and be sure to change it when it gets dirty.\n\n-1 Stamina every 1 sec\n-1 Health every 20 sec\n-8% Mobility\n-1 Wellness every 2 min\n20% more Health Loss\nUntil Treated","Вы получили [f21b10]рану [-]. Обработайте ее [35bd00] повязкой для оказания первой помощи [-] и не забудьте сменить ее, когда она станет грязной. \n \n-1 выносливость каждые 1 секунду \n-1 здоровье каждые 20 секунд \n-8% мобильности \n -1 самочувствие каждые 2 минуты \n20% больше потери здоровья \nПока идет лечение"
jz_BuffTendingTwoDesc,"Your [f21b10]Small Wound[-] is bandaged and healing. Try not to get hurt so it will heal.\n\n-1 Stamina every 8 sec\n-1% Mobility\n4% more Health Loss","Ваша [f21b10] Маленькая рана [-] перевязана и заживает. Постарайтесь не пораниться, чтобы она зажила. \n \n-1 выносливость каждые 8 секунд \n-1% мобильности \n4% больше потери здоровья"
jz_BuffDirtyBandageOneDesc,"Your [f21b10]Small Wounds[-] bandage is dirty and starting to smell. Change it with another [35bd00]Bandage[-] soon or it could get worse\n\n-1 Stamina every 3 sec\n-3% Mobility\n10% more Health Loss\nUntil Treated","Ваша повязка [f21b10] Маленькой раны [-] грязная и начинает пахнуть. В ближайшее время замените его другим [35bd00] бинтом [-], иначе ситуация может ухудшиться \n \n-1 выносливость каждые 3 секунды \n-3% мобильности \n10% больше потери здоровья \nДо лечения"
jz_BuffTendingOneDesc,"Your [f21b10]Small Wound[-] is bandaged and healing. Make sure to change it with another [35bd00]Bandage[-] when it gets dirty so it does not get worse.\n\n-1 Stamina every 4 sec\n-2% Mobility\n7% more Health Loss","Ваша [f21b10] Маленькая рана [-] перевязана и заживает. Обязательно замените его другим [35bd00] бинтом [-], когда он станет грязным, чтобы не становилось хуже. \n \n-1 выносливость каждые 4 секунды \n-2% мобильности \n7% больше потери здоровья"
jz_BuffSevereWoundDesc,"You've gotten a [f21b10]Sever Wound[-]. Treat it with [35bd00]Sanitized Bandage[-] and be sure to change it when it gets dirty.\n\n-2 Stamina every 1 sec\n-1 Health every 15 sec\n-12% Mobility\n-1 Wellness every 1.5 min\n25% more Health Loss\nUntil Treated","Вы получили [f21b10] Сильную рану [-]. Обработайте его [35bd00] Дезинфицирующой повязкой [-] и не забудьте заменить его, когда он станет грязным. \n \n-2 Выносливость каждые 1 секунду \n-1 Здоровье каждые 15 секунд \n-12% Подвижности \n-1 Оздоровление каждые 1,5 мин. \nПотеря здоровья на 25% больше \nДо лечения"
jz_buffInjuryConcussionDesc,"You have suffered a [f21b10]Concussion[-] and may experience dizziness and headaches. You will not be able to use the iron sights on ranged weapons until its healed\nUse [35bd00]Painkillers[-] to cure this.\n\nYour max health is lowered by {cvar(.ConcussionHealthBlockage:0.0)}.","Вы получили [f21b10] Сотрясение мозга [-] и можете испытывать головокружение и головные боли. Вы не сможете использовать прицелы на дальнобойном оружии, пока оно не вылечится. \nИспользуйте [35bd00] болеутоляющие [-], чтобы вылечить это. \n \nВаш максимальный запас здоровья снижен на {cvar(.ConcussionHealthBlockage: 0.0)}."
jz_BuffSmallWoundDesc,"You've gotten a [f21b10]Small wound[-]. Treat it with a [35bd00]Bandage[-] and be sure to change it when it gets dirty.\n\n-1 Stamina every 2 sec\n-1 Health every 25 sec\n-4% Mobility\n-1 Wellness every 2.5 min\n15% more Health Loss\nUntil Treated","Вы получили [f21b10] Небольшую рану [-]. Обработайте его [35bd00] бинтом [-] и не забудьте сменить его, когда он станет грязным. \n \n-1 Выносливость каждые 2 секунды \n-1 Здоровье каждые 25 секунд \n-4% Подвижности \n-1 Здоровье каждые 2,5 минуты \nПотеря здоровья на 15% больше \nПока идет лечение"
jz_buffArmBrokenDesc,"You have gotten a [f21b10]Broken Arm[-], limiting use to one handed weapons and tools and slowing your weapon handling, reload speed and swing speeds. A [35bd00]Splint[-] or cast will speed up healing.\nRanged or power attacks will delay healing or even hurt you.\n\nYour max health is lowered by {cvar(.ArmHurtHealthBlockage:0.0)}.","Вы получили [f21b10] Сломанную руку [-], ограничивающую использование одноручного оружия и инструментов и замедляющую обращение с оружием, скорость перезарядки и скорость поворота. [35bd00] Шина [-] или применение заклинания ускорят исцеление. \nДистанционные или силовые атаки задержат исцеление или даже повредят вам. \n \nВаш максимальный запас здоровья снижен на {cvar(.ArmHurtHealthBlockage:0.0)}."
jz_buffArmCastDesc,"Your arm is in a cast, limiting use to one handed weapons and tools and slowing your weapon handling, reload and swing speeds. This will take some time to heal.\nRanged or power attacks will delay healing or even hurt you. Further critical hits may result in a broken arm.\n\nYour max health is lowered by {cvar(.ArmHurtHealthBlockage:0.0)}.","Ваша рука находится в гипсе, что ограничивает использование одноручного оружия и инструментов и замедляет обращение с оружием, скорость его перезарядки и поворота. Для этого потребуется некоторое время. \nДистанционные или силовые атаки задержат исцеление или даже повредят вам. Дальнейшие критические попадания могут привести к сломанной руке. \n \nВаш максимальный запас здоровья уменьшается на {cvar(.ArmHurtHealthBlockage:0.0)}."
jz_buffArmSplintedDesc,"You arm is splinted, limiting use to one handed weapons and tools and slowing your weapon handling, reload and swing speeds. This will take some time to heal.\nRanged or power attacks will delay healing or even hurt you. Further critical hits may result in a broken arm.\n\nYour max health is lowered by {cvar(.ArmHurtHealthBlockage:0.0)}.","Ваша рука расколота, что ограничивает использование одноручного оружия и инструментов и замедляет обращение с оружием, скорость его перезарядки и поворота. Для этого потребуется некоторое время. \nДистанционные или силовые атаки задержат исцеление или даже повредят вам. Дальнейшие критические попадания могут привести к сломанной руке. \n \nВаш максимальный запас здоровья уменьшается на {cvar(.ArmHurtHealthBlockage:0.0)}."
jz_buffArmSprainedDesc,"Your arm is sprained, limiting use to one handed weapons and tools and slowing your weapon handling, reload and swing speeds. This will take some time to heal.\nRanged or power attacks will delay healing or even hurt you. Further critical hits may result in a broken arm.\n\nYour max health is lowered by {cvar(.ArmHurtHealthBlockage:0.0)}.","Ваша рука растянута, что ограничивает использование одноручного оружия и инструментов и замедляет обращение с оружием, скорость перезарядки и поворота. Для этого потребуется некоторое время. \nДистанционные или силовые атаки задержат исцеление или даже повредят вам. Дальнейшие критические попадания могут привести к сломанной руке. \n \nВаш максимальный запас здоровья уменьшается на {cvar(.ArmHurtHealthBlockage:0.0)}."
jz_buffNewbieCoatDesc,"All your status effects last through death. This coat temporarily protects you from the heat and the cold and you are also protected from the full penalty of death until level 20.\nWhile your Coat is active there is no XP penalty on death but you will still lose Wellness up to a max of 10 at level 21.\n\nThis protection will decrease and disappear completely so think ahead.","Все ваши статусные эффекты действуют до смерти. Это пальто временно защищает вас от жары и холода, и вы также защищены от полного наказания смертью до 20-го уровня. \nПока ваше пальто активно, вы не получаете штрафа XP за смерть, но вы все равно потеряете здоровье до максимума. 10 на уровне 21. \n \nЭта защита уменьшится и полностью исчезнет, так что думайте наперед."
AmputationTrackerDesc,"Player Amputations {cvar($amputationCounter:00)}\n\n- +{cvar($amputationCounter:00)}% Longer to Pick Locks\n- +{cvar($amputationCounter:00)}% Longer Crafting Time\n-  -{cvar($amputationCounter:00)}% Slower Mobility","Ампутации игрока {cvar($amputationCounter:00)} \n \n- + {cvar($amputationCounter:00)}% больше времени для взлома замков \n- + {cvar($amputationCounter:00)}% больше времени изготовления \n - - {cvar($amputationCounter:00)}% замедление подвижности"
StimulantDesc,"You are under the effect of Stimulants. The more Stimulants you take the stronger the effect gets, with a max effect of 6 active Stimulants\n\nActive Stimulant Dosage - {cvar($stimulantCounter:0)}\n- Increased Thirst\n- Stops Fatigue drain\n- +{cvar($stimulantSpeedDisplay:00)}% Mobility\n- +{cvar($stimulantDosageDisplay:00)}% Scavenging Speed\n- +{cvar($stimulantDosageDisplay:00)}% Harvesting Amount\n- +{cvar($stimulantCounter:0)} Degrees\n- -{cvar($stimulantDownSideDisplay:0)}% Weapon Handling","Вы находитесь под действием стимуляторов. Чем больше стимуляторов вы примете, тем сильнее будет эффект. Максимальный эффект - 6 активных стимуляторов. \n \nДозировка активного стимулятора - {cvar($stimulantCounter:0)} \n- Повышенная жажда \n- останавливает истощение усталости \n- + {cvar($stimulantSpeedDisplay:00)}% Мобильность \n- + {cvar($stimulantDosageDisplay:00)}% Скорость очистки \n- + {cvar($stimulantDosageDisplay:00)}% Объем сбора \n- + {cvar( $stimulantCounter:0)} Градусы \n- - {cvar($stimulantDownSideDisplay:0)}% Обработка оружия"
StimulantWithdrawalDesc,"Looks like those Stimulants have a down side and your going through withdrawal. You can wait for it to pass or take some more stimulants\n\nWithdrawal Severity - Lv.{cvar($withdrawalStrength:0)}\n- Increased Fatigue drain\n- -{cvar($withdrawalSpeedDisplay:00)}% Mobility\n- -{cvar($withdrawalScavengingDisplay:00)}% Scavenging Speed\n- -{cvar($withdrawalShiver:00)} Degrees\n- -{cvar($withdrawalSpeedDisplay:0)}% Weapon Handling","Похоже, у этих стимуляторов есть обратная сторона, и вы переживаете ломку. Вы можете подождать, пока он пройдет, или принять еще несколько стимуляторов. \n \nТяжесть синдрома отмены - Уровень {cvar($выводаStrength:0)} \n- Повышенное истощение утомляемости \n- - {cvar($вытягиваниеSpeedDisplay:00)}% мобильности \n- - {cvar($выводаScavengingDisplay:00)}% Скорость очистки \n- - {cvar($выводаShiver:00)} Градусы \n- - {cvar($вытеснениеSpeedDisplay:0)}% Обработка оружия"
jz_BuffInfection01GetBetterDesc,"You have a treated Z-Virus infection. Continue medication until infection is cleared up.\nGetting bite by zombies will make an infection worse.","Вы излечены от Z-вируса. Продолжайте принимать лекарства, пока инфекция не исчезнет. \nУкусы зомби только усугубят инфекцию."
jz_BuffInfection01UntreatedDesc,"You have the Z-Virus infection.\nIt will get worse until treated by antibiotics.\nGetting bite by zombies will make the infection worse. If the Infection reaches 100% you will die and not be able to respawn.","У вас Z-вирусная инфекция. \nПока вас не вылечит антибиотиками, ситуация будет ухудшаться. \nУкусы зомби только усугубят инфекцию. Если заражение достигнет 100%, вы умрете и не сможете возродиться."
jz_BuffInfection02GetBetterDesc,"You have a treated serious infection. Continue medication and keep an eye on the wound.\nGetting hit by zombies or animals will make an infection worse.\n\nStamina Regeneration -12.5%","Вы вылечили серьезную инфекцию. Продолжайте принимать лекарства и следите за раной. \nПри попадании зомби или животных инфекция усугубится. \n \n Регенерация выносливости -12,5%"
jz_BuffInfection02UntreatedDesc,"You have a serious Z-Virus infection. If left untreated it could lead to full infection which can cause permanent player death. Take antibiotics as soon as possible.\nGetting bite by zombies will make the infection worse.\n\nStamina Regeneration -25%","У вас серьезная инфекция Z-вируса. Если не лечить, это может привести к полному заражению, которое может привести к необратимой смерти игрока. Как можно скорее примите антибиотики. \nУкус зомби усугубит инфекцию. \n \n Восстановление выносливости -25%"
jz_BuffInfection03GetBetterDesc,"You have a treated life threatening Z-Virus infection. Continue Medication and avoid bites from the infected. If the Infection reaches 100% you will die and not be able to respawn.\n\nStamina Regeneration -17%","Вы вылечили опасную для жизни Z-вирусную инфекцию. Продолжайте прием лекарств и избегайте укусов инфицированных. Если инфекция достигнет 100%, вы умрете и не сможете возродиться. \n \n Регенерация выносливости -17%"
jz_BuffInfection03UntreatedDesc,"You have a life threatening Z-Virus infection. Take antibiotics immediately.\n\nStamina Regeneration -35%\nAll Attributes -1","У вас опасная для жизни инфекция Z-вируса. Немедленно принимайте антибиотики. \n \n Регенерация выносливости -35% \nВсе характеристики -1"
jz_BuffInfectionCureDisplayDesc,"You have taken antibiotic medicine which will reduce the Z-Virus infection that you may be suffering. You can stack antibiotic medicines to increase duration.","Вы приняли антибиотик, который снизит риск заражения Z-вирусом. Вы можете складывать антибиотики вместе, чтобы увеличить продолжительность."
jz_BuffFatiguedDesc,"Your getting fatigued. Rest on a bed or furniture to raise your Fatigue Level back to full. Resting on Beds will also heal you.\n\n- +10% Health Loss\n- -5% Mobility Speed","Вы устали. Отдых на кровати или мебели, чтобы поднять уровень усталости до максимума. Отдых на кровати также исцелит вас. \n \n- + 10% потери здоровья \n- -5% скорости передвижения."
jz_buffEncumberedInvDesc,"Moving becomes harder when you are carrying too many items in your inventory. Carry less or wear clothes with more pockets or add more pockets to your clothes.\n\nThe number is the number of items that are encumbering you.","Двигаться становится труднее, если в инвентаре слишком много предметов. Носите меньше, носите одежду с большим количеством карманов или добавляйте больше карманов к своей одежде. \n \nЦифра - это количество предметов, которые вам мешают."
BLOCK_________________________XML,BLOCK_________________________XML,BLOCK_________________________XML
jz_refrigeratorGroupDesc,"A modern refrigerator, its seen better days but will still do a good job of stopping perishable goods from spoiling when used for storage.","Современный холодильник, его видели и в лучшие дни, но он все равно хорошо защищает скоропортящиеся продукты от порчи при хранении."
jz_cntCoolerClosedDesc,"A well insulated Cooler that can be used to store and slow the spoiling of perishable goods.","Хорошо изолированный охладитель, который можно использовать для хранения и замедления порчи скоропортящихся товаров."
jz_BuffBurnWoundDesc,"You have received a [f21b10]Burn Wound[-]. Use [35bd00]Plant Salve[-] to help heal it or it could get worse\n\n-4 Stamina per 5 seconds\n-1 HP every 30 seconds\nUntil Treated","Вы получили [f21b10]ожог[-]. Используйте [35bd00] бальзам из растений [-], чтобы вылечить его, иначе ситуация может ухудшиться \n\n-4 выносливости за 5 секунд \n-1 ОЗ каждые 30 секунд \nДо лечения"
jz_trapSpikesIronDmg0Dec,"Iron Pipes sharpened and bolted together.\n\nRepair with Iron Pipes using a Wrench","Железные трубы заточены и скреплены болтами. \n\nРемонт железных труб с помощью гаечного ключа"
jz_ZombieLoot,"Zombie Corpse","Труп зомби"
jz_QISatRadioStation,"Satellite Radio","Спутниковое радио"
jz_QISatRadioStationDesc,"A crudely crafted device capable of sending and receiving communications with satellites.","Грубо созданное устройство, способное отправлять и получать сообщения со спутниками."
jz_QIHospitalLabStation,"Tissue Testing Station","Станция тестирования тканей"
jz_QIHospitalLabStationDesc,"All the equipment needed to analyze tissue samples.","Все оборудование, необходимое для анализа образцов тканей."
jz_QIMilitarySecurityStation,"Security Card Scanner","Сканер карт безопасности"
jz_FlagstoneFrameBlock,"Flagstone Frame Block","Блок рамы из плитняка"
jz_FlagstoneFrameBlockV,"Flagstone Frame Block","Блок рамы из плитняка"
jz_FlagstoneFrameRamp,"Flagstone Frame Ramp","Рампа из плитняка"
jz_FlagstoneFrameArch,"Flagstone Frame Arch","Арка рамы из плитняка"
jz_FlagstoneFrameSlitHalf,"Flagstone Frame Slit Half","Половина прорези рамы из плитняка"
jz_FlagstoneFrameCNRFull,"Flagstone Frame CNR Full","Рамка Flagstone CNR Full"
jz_FlagstoneFrameCNRInside,"Flagstone Frame CNR Inside","Рама из плитняка CNR внутри"
jz_FlagstoneFrameCNRRampFiller,"Flagstone Frame CNR Ramp Filler","Наполнитель рампы CNR для рамы из плитняка"
jz_FlagstoneFrameGableInvertedHalf,"Flagstone Frame Gable Inverted Half","Рама из плитного камня, перевернутая половина"
jz_FlagstoneFrameGableInvertedQuarter,"Flagstone Frame Gable Inverted Qtr","Фронтальная рама Flagstone Inverted Qtr"
jz_FlagstoneFrameGableInvertedSteep,"Flagstone Frame Gable Inverted Steep","Рама из плитного камня, перевернутая, крутая"
jz_FlagstoneFrameGableQuarter,"Flagstone Frame Gable Qtr","Фронтальная рама из плитного камня Qtr"
jz_FlagstoneFrameHalf,"Flagstone Frame Half","Половина рамы из плитного камня"
jz_FlagstoneFrameQuarterCNR,"Flagstone Frame Qtr CNR","Рамка Flagstone Qtr CNR"
jz_FlagstoneFrameQuarterCNR3Way,"Flagstone Frame Qtr CNR 3 Way","Рама из плитного камня Qtr CNR 3 Way"
jz_FlagstoneFrameQuarterSCtr,"Flagstone Frame Qtr SCtr","Рамка Flagstone Qtr SCtr"
jz_FlagstoneFrameQuarterTeeSCtr,"Flagstone Frame Qtr Tee SCtr","Футболка Flagstone Frame Qtr SCtr"
jz_FlagstoneFrameStairs25CornerCNR,"Flagstone Frame Stairs 25 Corner CNR","Лестница с рамой из плитняка, 25 углов CNR"
jz_FlagstoneFrameWedge,"Flagstone Frame Wedge","Клин рамы из плитняка"
jz_FlagstoneFrameWedgeCNRInsideBottom,"Flagstone Frame Wedge CNR Inside Bottom","Клин рамы из плитняка CNR внутри снизу"
jz_FlagstoneFrameWedgeCNRInsideSteepBase,"Flagstone Frame Wedge CNR Inside Steep Base","Клин рамы из плитняка CNR внутри крутого основания"
jz_FlagstoneFrameWedgeCNRInsideSteepTop,"Flagstone Frame Wedge CNR Inside Steep Top","Рама из плитняка на танкетке CNR Inside Steep Top"
jz_FlagstoneFrameWedgeCNRInsideTop,"Flagstone Frame Wedge CNR Inside Top","Рамка Flagstone с танкеткой CNR Inside Top"
jz_FlagstoneFrameWedgeCNRSteepBase,"Flagstone Frame Wedge CNR Steep Base","Рама из плитного камня, клин CNR, крутое основание"
jz_FlagstoneFrameWedgeCNRSteepTop,"Flagstone Frame Wedge CNR Steep Top","Рамка Flagstone на танкетке CNR Steep Top"
jz_FlagstoneFrameWedgeIncline,"Flagstone Frame Wedge Incline","Рама из плитного камня, клин, наклон"
jz_FlagstoneFrameWedgeStairs,"Flagstone Frame Wedge Stairs","Клинная лестница с рамой из плит"
jz_FlagstoneFrameWedgeTip,"Flagstone Frame Wedge Tip","Кончик клина рамы Flagstone"
jz_FlagstoneFrameWedgeTipCNRFullBottom,"Flagstone Frame Wedge Tip CNR Full Bottom","Рама из плитняка с клиновым наконечником CNR, полное дно"
jz_FlagstoneFrameWedgeTipCNRFullTop,"Flagstone Frame Wedge Tip CNR Full Top","Рамка Flagstone с клиновым наконечником CNR Full Top"
jz_FlagstoneFrameWedgeTipStairs,"Flagstone Frame Wedge Tip Stairs","Лестница с клиновидным концом рамы из плитняка"
jz_FlagstoneFramePillar100,"Flagstone Frame Pillar100","Столб рамы из плитняка100"
jz_BrickFrameBlock,"Brick Frame Block","Блок кирпичной рамы"
jz_BrickFrameBlockV,"Brick Frame Block","Блок кирпичной рамы"
jz_BrickFrameRamp,"Brick Frame Ramp","Рампа кирпичного каркаса"
jz_BrickFrameArch,"Brick Frame Arch","Арка из кирпичного каркаса"
jz_BrickFrameCNRFull,"Brick Frame CNR Full","Кирпичный каркас CNR полный"
jz_BrickFrameCNRInside,"Brick Frame CNR Inside","Кирпичный каркас CNR внутри"
jz_BrickFrameCNRRampFiller,"Brick Frame CNR Ramp Filler","Кирпичная рама CNR Ramp Filler"
jz_BrickFrameGableInvertedHalf,"Brick Frame Gable Inverted Half","Кирпичный каркас фронтона перевернутой половины"
jz_BrickFrameGableInvertedQuarter,"Brick Frame Gable Inverted Qtr","Фронтон кирпичной рамы перевернутый Qtr"
jz_BrickFrameGableInvertedSteep,"Brick Frame Gable Inverted Steep","Кирпичный каркас фронтон перевернутый крутой"
jz_BrickFrameGableQuarter,"Brick Frame Gable Qtr","Кирпичный каркас фронтон Qtr"
jz_BrickFrameQuarterCNR,"Brick Frame Qtr CNR","Brick Frame Qtr CNR"
jz_BrickFrameQuarterCNR3Way,"Brick Frame Qtr CNR 3Way","Кирпичная рама Qtr CNR 3Way"
jz_BrickFrameQuarterSCtr,"Brick Frame Qtr SCtr","Кирпичная рама Qtr SCtr"
jz_BrickFrameQuarterTeeSCtr,"Brick Frame Qtr Tee SCtr","Кирпичная рама Тройник Qtr SCtr"
jz_BrickFrameStairs25CornerCNR,"Brick Frame Stairs 25Corner CNR","Лестница с кирпичным каркасом 25Corner CNR"
jz_BrickFrameWedgeCNRInsideBottom,"Brick Frame Wedge CNR Inside Bottom","Клин кирпичной рамы CNR внутри снизу"
jz_BrickFrameWedgeCNRInsideSteepBase,"Brick Frame Wedge CNR Inside Steep Base","Клин для кирпичной рамы CNR внутри крутого основания"
jz_BrickFrameWedgeCNRInsideSteepTop,"Brick Frame Wedge CNR Inside Steep Top","Клин для кирпичной рамы CNR Inside Steep Top"
jz_BrickFrameWedgeCNRInsideTop,"Brick Frame Wedge CNR Inside Top","Клин для кирпичной рамы CNR Inside Top"
jz_BrickFrameWedgeCNRSteepBase,"Brick Frame Wedge CNR Steep Base","Клин для кирпичной рамы CNR Steep Base"
jz_BrickFrameWedgeCNRSteepTop,"Brick Frame Wedge CNR Steep Top","Клин для кирпичной рамы CNR Steep Top"
jz_BrickFrameWedgeIncline,"Brick Frame Wedge Incline","Клин кирпичного каркаса наклонный"
jz_BrickFrameWedgeStairs,"Brick Frame Wedge Stairs","Клинная лестница с кирпичным каркасом"
jz_BrickFrameWedgeTipCNRFullBottom,"Brick Frame Wedge Tip CNR Full Bottom","Клин для кирпичной рамы CNR Полное дно"
jz_BrickFrameWedgeTipCNRFullTop,"Brick Frame Wedge Tip CNR Full Top","Клин для кирпичной рамы CNR Full Top"
jz_BrickFrameWedgeTipStairs,"Brick Frame Wedge Tip Stairs","Лестница с клиновидным концом и кирпичной рамой"
jz_BrickFrameVariantHelper,"Brick Frame Variants","Варианты кирпичного каркаса"
jz_SteelFrameBlock,"Steel Frame Block","Блок стального каркаса"
jz_SteelFrameBlockV,"Steel Frame Block","Блок стального каркаса"
jz_SteelFrameRamp,"Steel Frame Ramp","Рампа стального каркаса"
jz_SteelFrameArch,"Steel Frame Arch","Арка из стального каркаса"
jz_SteelFrameCNRFull,"Steel Frame CNR Full","Стальной каркас CNR Полный"
jz_SteelFrameCNRInside,"Steel Frame CNR Inside","Стальной каркас CNR внутри"
jz_SteelFrameCNRRampFiller,"Steel Frame CNR Ramp Filler","Стальной каркас CNR заполнитель рампы"
jz_SteelFrameGableInvertedHalf,"Steel Frame Gable Inverted Half","Стальной каркас фронтона перевернутой половины"
jz_SteelFrameGableInvertedQuarter,"Steel Frame Gable Inverted Qtr","Стальной каркас фронтона перевернутый Qtr"
jz_SteelFrameGableInvertedSteep,"Steel Frame Gable Inverted Steep","Стальной каркас фронтона перевернутый крутой"
jz_SteelFrameGableQuarter,"Steel Frame Gable Qtr","Стальной каркас Gable Qtr"
jz_SteelFrameHalf,"Steel Frame Half","Половина стального каркаса"
jz_SteelFramePillar100Cap,"Steel Frame Pillar 100 Cap","Стальной каркас столба 100 Cap"
jz_SteelFrameQuarterCNR,"Steel Frame Qtr CNR","Стальной каркас Qtr CNR"
jz_SteelFrameQuarterCNR3Way,"Steel Frame Qtr CNR 3Way","Стальной каркас Qtr CNR 3Way"
jz_SteelFrameQuarterSCtr,"Steel Frame Qtr SCtr","Стальной каркас Qtr SCtr"
jz_SteelFrameStairs25CornerCNR,"Steel Frame Stairs 25Corner CNR","Лестница со стальным каркасом 25Corner CNR"
jz_SteelFrameWedge,"Steel Frame Wedge","Клин стальной рамы"
jz_SteelFrameWedgeCNRInsideBottom,"Steel Frame Wedge CNR Inside Bottom","Клин стальной рамы CNR внутри снизу"
jz_SteelFrameWedgeCNRInsideSteepBase,"Steel Frame Wedge CNR Inside Steep Base","Стальной каркас клин CNR внутри крутого основания"
jz_SteelFrameWedgeCNRInsideSteepTop,"Steel Frame Wedge CNR Inside Steep Top","Клин из стального каркаса CNR Inside Steep Top"
jz_SteelFrameWedgeCNRInsideTop,"Steel Frame Wedge CNR Inside Top","Стальной каркас клин CNR внутри сверху"
jz_SteelFrameWedgeCNRSteepBase,"Steel Frame Wedge CNR Steep Base","Стальной каркас клин CNR крутое основание"
jz_SteelFrameWedgeCNRSteepTop,"Steel Frame Wedge CNR Steep Top","Стальной каркас клин CNR крутой верх"
jz_SteelFrameWedgeIncline,"Steel Frame Wedge Incline","Наклон клина стальной рамы"
jz_SteelFrameWedgeStairs,"Steel Frame Wedge Stairs","Стальной каркас клиновой лестницы"
